"from","to","Year","trade_type","value"
"Canada","United States",2020,"Import",276195545.88
"Cocos (Keeling) Islands","United States",2020,"Import",1782.44
"Switzerland","United States",2020,"Import",75504461.81
"Chile","United States",2020,"Import",10917000.71
"China","United States",2020,"Import",457164215.51
"Cote d'Ivoire","United States",2020,"Import",914503.08
"Cameroon","United States",2020,"Import",452715.31
"Congo, Rep.","United States",2020,"Import",139972.53
"Cook Islands","United States",2020,"Import",2481.28
"Colombia","United States",2020,"Import",11310309.33
"Comoros","United States",2020,"Import",3444.26
"Cape Verde","United States",2020,"Import",4782.31
"Costa Rica","United States",2020,"Import",5622497.4
"Curaçao","United States",2020,"Import",28926.28
"Christmas Island","United States",2020,"Import",476.82
"Cayman Islands","United States",2020,"Import",20683.56
"Cyprus","United States",2020,"Import",60769.56
"Czech Republic","United States",2020,"Import",5706788.16
"Germany","United States",2020,"Import",117393017.84
"Djibouti","United States",2020,"Import",40949.23
"Dominica","United States",2020,"Import",1875.39
"Denmark","United States",2020,"Import",11836868.36
"Dominican Republic","United States",2020,"Import",5346080.63
"Algeria","United States",2020,"Import",498853.71
"Ecuador","United States",2020,"Import",6384468.6
"Egypt, Arab Rep.","United States",2020,"Import",2303710.28
"Eritrea","United States",2020,"Import",289.08
"Western Sahara","United States",2020,"Import",19
"Spain","United States",2020,"Import",15925756.98
"Estonia","United States",2020,"Import",1101119.29
"Ethiopia(excludes Eritrea)","United States",2020,"Import",540458.33
"Finland","United States",2020,"Import",5098572.16
"Fiji","United States",2020,"Import",267147.98
"Falkland Island","United States",2020,"Import",11761.56
"France","United States",2020,"Import",43871784.33
"Faeroe Islands","United States",2020,"Import",151199.85
"Micronesia, Fed. Sts.","United States",2020,"Import",2988.78
"Gabon","United States",2020,"Import",83634.97
"United Kingdom","United States",2020,"Import",50839851.48
"Georgia","United States",2020,"Import",157327.04
"Ghana","United States",2020,"Import",759858.88
"Gibraltar","United States",2020,"Import",22363.53
"Guinea","United States",2020,"Import",9893.5
"Gambia, The","United States",2020,"Import",1157.21
"Guinea-Bissau","United States",2020,"Import",924.34
"Equatorial Guinea","United States",2020,"Import",145504.99
"Greece","United States",2020,"Import",1412356.95
"Grenada","United States",2020,"Import",13871.11
"Greenland","United States",2020,"Import",29197.61
"Guatemala","United States",2020,"Import",4170606.49
"Guyana","United States",2020,"Import",724260.96
"Hong Kong, China","United States",2020,"Import",8012202.17
"Heard Island and McDonald Isla","United States",2020,"Import",16.16
"Honduras","United States",2020,"Import",4073688.72
"Croatia","United States",2020,"Import",615938.1
"Haiti","United States",2020,"Import",861814
"Hungary","United States",2020,"Import",5388419.29
"Indonesia","United States",2020,"Import",21287064.43
"India","United States",2020,"Import",53567301.6
"British Indian Ocean Ter.","United States",2020,"Import",176.34
"Ireland","United States",2020,"Import",65779092.04
"Iran, Islamic Rep.","United States",2020,"Import",3915.2
"Iraq","United States",2020,"Import",3266587.48
"Iceland","United States",2020,"Import",453319.88
"Israel","United States",2020,"Import",15597596.45
"Italy","United States",2020,"Import",50996273.74
"Jamaica","United States",2020,"Import",396397.12
"Jordan","United States",2020,"Import",1920196.54
"Japan","United States",2020,"Import",122483985.44
"Kazakhstan","United States",2020,"Import",938497.14
"Kenya","United States",2020,"Import",584534.21
"Kyrgyz Republic","United States",2020,"Import",6018.62
"Cambodia","United States",2020,"Import",6883532.03
"Kiribati","United States",2020,"Import",1184
"St. Kitts and Nevis","United States",2020,"Import",50967.84
"Korea, Rep.","United States",2020,"Import",78292069.68
"Kuwait","United States",2020,"Import",681801.98
"Lao PDR","United States",2020,"Import",107060.66
"Lebanon","United States",2020,"Import",198068.17
"Liberia","United States",2020,"Import",48192.73
"Libya","United States",2020,"Import",224894.53
"St. Lucia","United States",2020,"Import",9101.83
"Sri Lanka","United States",2020,"Import",2552281.22
"Lesotho","United States",2020,"Import",312511.77
"Lithuania","United States",2020,"Import",1386965.22
"Luxembourg","United States",2020,"Import",507178.8
"Latvia","United States",2020,"Import",547250.35
"Macao","United States",2020,"Import",103941.21
"Morocco","United States",2020,"Import",1095590.64
"Moldova","United States",2020,"Import",60086.52
"Madagascar","United States",2020,"Import",626004.77
"Maldives","United States",2020,"Import",16758.95
"Mexico","United States",2020,"Import",328861803.53
"Marshall Islands","United States",2020,"Import",32599.95
"North Macedonia","United States",2020,"Import",164356.49
"Mali","United States",2020,"Import",2347.49
"Malta","United States",2020,"Import",176777.11
"Myanmar","United States",2020,"Import",1073934.77
"Mongolia","United States",2020,"Import",11835.24
"Montenegro","United States",2020,"Import",5854.48
"Mozambique","United States",2020,"Import",111615.61
"Mauritania","United States",2020,"Import",6207.35
