Country Name,Indicator Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Congo, Rep.",GDP per capita (current US$),3922.86884155231,3884.85068638902,3781.51573466687,2448.52377758887,2051.66617623027,2170.90056268043,2606.61552601515,2369.72944099031,1899.77823742106,2213.88086288172
Colombia,GDP per capita (current US$),8050.2553716705,8218.34784431476,8114.3439208516,6175.87602970258,5870.77795724163,6376.70671552601,6729.58333198168,6418.61578254492,5312.19855554985,6131.22592153117
Comoros,GDP per capita (current US$),1403.36025196698,1505.33729247147,1513.8303792438,1242.58560784999,1273.05095200255,1323.81484301294,1428.29046324322,1404.43318720472,1407.40927043446,1494.68769339899
Cabo Verde,GDP per capita (current US$),3447.48310007387,3616.03556968932,3588.62558418407,3043.03138156811,3131.01759817572,3292.63350335797,3616.46066604314,3603.77524058462,3064.27238842819,3445.75653621
Costa Rica,GDP per capita (current US$),10075.0046155772,10744.0910189401,10847.1696673041,11642.7780517123,12011.2227544174,12225.5744931385,12485.4238961667,12762.1380073688,12201.9260332666,12508.6156275756
Caribbean small states,GDP per capita (current US$),10200.0202818354,10321.2403217316,10402.3136658726,10181.8061569933,9557.66776624239,9915.74468409936,10250.2917323397,10406.6707101531,8857.87092186091,9352.28202838224
Cuba,GDP per capita (current US$),6497.31476421306,6837.71167985881,7133.33767875907,7694.01463710941,8060.79659761513,8541.21368643707,8824.19400843842,9125.8786794952,9477.85287326771,
Curacao,GDP per capita (current US$),19886.6783682132,19762.739621629,19552.660553207,19260.269845345,18881.8306152417,18788.8072839326,18956.0979142963,19024.1772302171,16109.8616665506,
Cayman Islands,GDP per capita (current US$),72777.1478369284,73514.6696504991,74990.4327442868,76284.1942951101,78471.6281355257,81513.1628341398,86180.5396948445,91513.042673381,85346.7619526658,
Cyprus,GDP per capita (current US$),28912.15625,27729.193359375,27163.33203125,23408.3359375,24605.919921875,26608.875,29334.111328125,29206.076171875,27681.56640625,30798.4765625
Czechia,GDP per capita (current US$),19870.8012123403,20133.1691431353,19890.9199056648,17829.6983223668,18575.2320271915,20636.199952435,23419.7356136502,23660.1488068317,22933.4995909236,26378.4999575477
Germany,GDP per capita (current US$),43855.8544658618,46298.9229177341,48023.8699845462,41103.2564363768,42136.1207907991,44652.5891722719,47973.6076235097,46794.8992915603,46252.6893044892,50801.7867105308
Djibouti,GDP per capita (current US$),1559.24065068226,2312.7209484209,2464.29490507649,2652.51322808034,2803.68912494462,2926.15330391496,3038.26973815945,3172.75068492992,3219.70112779347,3363.71204814366
Dominica,GDP per capita (current US$),6849.45593336945,7016.380071478,7317.48614321654,7597.28889409255,8080.96862341186,7298.51457951094,7745.37696325874,8516.28003895161,7003.85902147233,7559.9750390528
Denmark,GDP per capita (current US$),58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59775.7350964515,61063.3164304238,67803.0471046403
Dominican Republic,GDP per capita (current US$),6110.36657603383,6238.13236658362,6608.82550130065,6921.52059432776,7280.88361041225,7609.35327534023,8050.64407623416,8282.11713050921,7268.1969096591,8603.78990518158
