country,Region,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Bank capital to assets ratio (%),"Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Consumer price index (2010 = 100),Domestic credit to private sector (% of GDP),"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)",GDP (constant 2010 US$),GDP growth (annual %),GDP per capita (constant 2010 US$),GNI (constant 2010 US$),GNI growth (annual %),GNI per capita (constant 2010 US$),Human capital index (HCI) (scale 0-1),"Labor force, total",Population density (people per sq. km of land area),Population growth (annual %),"Population, female","Population, male","Population, total",Ratio of female to male labor force participation rate (%) (national estimate),"Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Women Business and the Law Index Score (scale 1-100)
Ghana,WesternAfrica,67.42427908,5.257707118,62.16657196,,,,273.1700257,10.87825539,,,57430579781.0,0.414443468,1848.250296,,,,0.450056404,12934257,136.560363,2.130763473,15322946,15749999,31072945,,7884091539.0,4.53,17820023,75.0
Greece,SouthernEurope,56.10441896,34.78692147,21.3174975,8.832371719,17.34539508,21.027939,100.6771128,82.08598987,34.9,51.06,231212000000.0,-8.247736115,21577.20799,,,,0.690006495,4751026,83.13071373,-0.056285518,5456162,5259387,10715549,73.67084321,11931180005.0,16.85,8541900,97.5
India,SouthernAsia,48.66462031,9.77304664,38.89157367,8.103839108,80.11352743,66.14530175,184.3288151,55.25091376,,,2706600000000.0,-7.964610411,1961.298711,2680900000000.0,-7.96658868,1942.673932,0.493510902,471688990,464.1494102,0.9894138,662903415,717100970,1380004385,,590227000000.0,7.11,481980332,74.375
Indonesia,South-easternAsia,47.48940519,9.236543539,38.25286165,14.79936547,54.23441672,55.33402903,154.0807306,38.68833111,51.19,77.8,1179530000000.0,-2.069543499,4312.353082,1149340000000.0,-1.682170975,4201.980379,0.540038466,134616083,145.6835435,1.065178986,135805760,137717861,273523621,65.2360515,135916000000.0,4.11,154926514,64.375
Iraq,WesternAsia,69.94223676,5.850651617,64.09158514,,60.05430899,5.447075423,,,,,198178000000.0,-10.36509018,4927.048308,,,,0.407643288,10356947,92.65125263,2.29530433,19864725,20357778,40222503,,65340042658.0,13.74,28514939,45.0
Ireland,NorthernEurope,54.82323599,22.57004706,32.25318893,11.35788728,,,106.2277116,33.00545519,51.98,63.6,406056000000.0,3.417815527,81297.06695,,,,0.792599022,2427093,72.50288866,1.216322998,2515113,2479611,4994724,81.77500742,7463044895.0,5.92,3179292,100.0
Israel,WesternAsia,67.34389298,20.77465249,46.56924049,6.746874027,87.7028407,67.61207505,107.539896,,55.81000137,62.56000137,311692000000.0,-2.439985916,33817.41824,,,,0.733995318,4136200,425.9195933,1.783210642,4629378,4587522,9216900,,173292000000.0,4.61,8533651,80.625
Italy,SouthernEurope,56.9592203,36.57447031,20.38474998,6.603312223,54.85799094,53.19196839,110.4712586,83.57933292,35.78,52.95,1959440000000.0,-8.871146348,32901.88292,1979950000000.0,-8.715831883,33246.26766,0.727819681,25080671,200.0269472,-0.293517053,30558291,28995732,59554023,68.92733564,210687000000.0,9.31,42306582,97.5
Japan,EasternAsia,69.04978924,48.00553094,21.0442583,,68.72594415,72.02442327,105.4649055,,51.83,69.28,,,,,,,0.804714262,68680759,345.2291385,-0.340268778,64395674,61440347,125836021,74.50980392,1390810000000.0,2.97,115494817,81.875
Kazakhstan,CentralAsia,58.84859739,12.5534886,46.29510878,,15.85669304,59.5727568,201.2394119,25.82344819,60.3,72.1,207706000000.0,-2.6,11075.00816,,,,0.628506422,8778458,6.946860762,1.29209842,9652308,9102132,18754440,84.37086093,35638096635.0,6.05,10815873,69.375
