Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%)
United States,Nepal,2020,Export,288,6.36,93570.02,0.01
United States,Nauru,2020,Export,25,0.55,607.03,0
United States,New Zealand,2020,Export,2625,58,3185107.02,0.22
United States,"Other Asia, nes",2020,Export,,,30496302.12,2.13
United States,Oman,2020,Export,1342,29.65,1132932.3,0.08
United States,Pakistan,2020,Export,1474,32.57,2926365.25,0.2
United States,Panama,2020,Export,2605,57.56,5766188.86,0.4
United States,Pitcairn,2020,Export,,,,
United States,Peru,2020,Export,2728,60.27,7685741.23,0.54
United States,Philippines,2020,Export,2396,52.94,7764459.61,0.54
United States,Palau,2020,Export,223,4.93,21107.17,0
United States,Papua New Guinea,2020,Export,402,8.88,62493.53,0
United States,Poland,2020,Export,2152,47.55,4951225.42,0.35
United States,Portugal,2020,Export,1373,30.34,1650337.71,0.12
United States,Paraguay,2020,Export,1197,26.45,1274329.12,0.09
United States,Occ.Pal.Terr,2020,Export,48,1.06,2304.97,0
United States,French Polynesia,2020,Export,746,16.48,110541.08,0.01
United States,Qatar,2020,Export,1917,42.36,3415513.61,0.24
United States,Romania,2020,Export,1276,28.19,913971.88,0.06
United States,Russian Federation,2020,Export,2218,49.01,4883765.6,0.34
United States,Rwanda,2020,Export,184,4.07,27402.4,0
United States,South Asia,2020,Export,3287,72.62,33310939.51,2.33
United States,Saudi Arabia,2020,Export,2716,60.01,11177094.25,0.78
United States,Senegal,2020,Export,521,11.51,280137.11,0.02
United States,"Serbia, FR(Serbia/Montenegro)",2020,Export,683,15.09,174999.89,0.01
United States,Singapore,2020,Export,3044,67.26,27050553.87,1.89
United States,Saint Helena,2020,Export,111,2.45,4856.19,0
United States,Solomon Islands,2020,Export,59,1.3,4667.55,0
United States,Sierra Leone,2020,Export,307,6.78,73828.32,0.01
United States,El Salvador,2020,Export,2462,54.4,2618698.81,0.18
United States,San Marino,2020,Export,35,0.77,2060.61,0
United States,Somalia,2020,Export,229,5.06,58945.82,0
United States,Saint Pierre and Miquelon,2020,Export,6,0.13,271.95,0
United States,South Sudan,2020,Export,137,3.03,40244,0
United States,Sub-Saharan Africa,2020,Export,3113,68.78,13321633.25,0.93
United States,Sao Tome and Principe,2020,Export,32,0.71,733,0
United States,Sudan,2020,Export,65,1.44,71709.84,0.01
United States,Suriname,2020,Export,1203,26.58,267424.98,0.02
United States,Slovak Republic,2020,Export,834,18.43,336565.12,0.02
United States,Slovenia,2020,Export,837,18.49,307881.6,0.02
United States,Sweden,2020,Export,2103,46.46,4688570.4,0.33
United States,Eswatini,2020,Export,151,3.34,21406.12,0
United States,Saint Maarten (Dutch part),2020,Export,1386,30.62,335607.71,0.02
United States,Seychelles,2020,Export,192,4.24,17062.46,0
United States,Syrian Arab Republic,2020,Export,22,0.49,2134.12,0
United States,Turks and Caicos Isl.,2020,Export,1181,26.09,260063.02,0.02
United States,Chad,2020,Export,271,5.99,46145.95,0
United States,Togo,2020,Export,256,5.66,319564.05,0.02
United States,Thailand,2020,Export,2788,61.6,11169543.49,0.78
United States,Tajikistan,2020,Export,62,1.37,7564.52,0
