South Asia (IDA & IBRD),"Inflation, consumer prices (annual %)",3.62894965885468
Sub-Saharan Africa (IDA & IBRD countries),"Inflation, consumer prices (annual %)",2.77698537023136
Trinidad and Tobago,"Inflation, consumer prices (annual %)",1.00054293027224
Tunisia,"Inflation, consumer prices (annual %)",6.72007532863804
Turkiye,"Inflation, consumer prices (annual %)",15.1768215720023
Tuvalu,"Inflation, consumer prices (annual %)",
Tanzania,"Inflation, consumer prices (annual %)",3.46428057999023
Uganda,"Inflation, consumer prices (annual %)",2.86909425020554
Ukraine,"Inflation, consumer prices (annual %)",7.8867174561113
Upper middle income,"Inflation, consumer prices (annual %)",2.0872308916202
Uruguay,"Inflation, consumer prices (annual %)",7.88198870879622
United States,"Inflation, consumer prices (annual %)",1.81221007526015
Uzbekistan,"Inflation, consumer prices (annual %)",
St. Vincent and the Grenadines,"Inflation, consumer prices (annual %)",0.913069725324485
"Venezuela, RB","Inflation, consumer prices (annual %)",
British Virgin Islands,"Inflation, consumer prices (annual %)",
Virgin Islands (U.S.),"Inflation, consumer prices (annual %)",
Vietnam,"Inflation, consumer prices (annual %)",2.79582367452244
Vanuatu,"Inflation, consumer prices (annual %)",2.76252019386107
World,"Inflation, consumer prices (annual %)",2.18690154543462
Samoa,"Inflation, consumer prices (annual %)",0.982326569888142
Kosovo,"Inflation, consumer prices (annual %)",2.67599202639892
"Yemen, Rep.","Inflation, consumer prices (annual %)",
South Africa,"Inflation, consumer prices (annual %)",4.12024587014984
Zambia,"Inflation, consumer prices (annual %)",9.15031644316299
Zimbabwe,"Inflation, consumer prices (annual %)",255.304990757856
